field,description
rule_id,EEAT-### being evaluated (see data/rules.csv)
checklist_ref,"The c#i# id — traces this finding back to the human-facing 40+2 item Checklist"
pillar,trust | authorship | experience | expertise | authoritativeness | helpful-content | schema
scope,page | site — some rules are checkable from one page (byline, schema); others need site-wide evidence (NAP consistency, off-site mentions)
element,"The specific thing checked, e.g. 'byline', 'Person schema', 'AggregateRating block', 'privacy policy link'"
verdict,pass | fail | partial | not-applicable
severity,"Critical | High | Medium | Avoid — starts at the rule's default_severity, may be adjusted with a stated reason"
observed,"What was actually found — a quote, a measured value, or 'not present'"
expected,The rule's requirement (pass_condition from rules.csv)
consequence,Why this matters if it fails
solution,The fix pattern (solution_pattern from rules.csv)
execution,"A concrete next step or draft — an actual byline sentence, an actual Person-schema JSON-LD snippet, an actual reviewer-credential line — not just restated advice"
evidence_basis,Standard | Interpretation — inherited from the rule; Interpretation findings must never be reported as a Google requirement
check_type,deterministic | llm-judgment — inherited from the rule; deterministic findings should cite the measure.py field they came from
verification_level,schema-parse | http-check | content-read | external-search — how THIS specific finding was confirmed
