new_id,dimension,origin_engine,original_id,category,original_severity,status
ACC-0001,accessibility,A-accessibility,SEM-001,semantic-structure,error,active
ACC-0002,accessibility,A-accessibility,SEM-002,semantic-structure,error,active
ACC-0003,accessibility,A-accessibility,SEM-003,semantic-structure,warning,active
ACC-0004,accessibility,A-accessibility,SEM-004,semantic-structure,warning,active
ACC-0005,accessibility,A-accessibility,SEM-005,semantic-structure,warning,active
ACC-0006,accessibility,A-accessibility,SEM-006,semantic-structure,error,active
ACC-0007,accessibility,A-accessibility,SEM-007,semantic-structure,warning,active
ACC-0008,accessibility,A-accessibility,SEM-008,semantic-structure,warning,active
ACC-0009,accessibility,A-accessibility,SEM-009,semantic-structure,warning,active
ACC-0010,accessibility,A-accessibility,SEM-010,semantic-structure,warning,active
ACC-0011,accessibility,A-accessibility,SEM-011,semantic-structure,error,active
ACC-0012,accessibility,A-accessibility,SEM-012,semantic-structure,error,active
ACC-0013,accessibility,A-accessibility,SEM-013,semantic-structure,warning,active
ACC-0014,accessibility,A-accessibility,SEM-014,semantic-structure,error,active
ACC-0015,accessibility,A-accessibility,SEM-015,semantic-structure,warning,active
ACC-0016,accessibility,A-accessibility,SEM-016,accessibility-tree,error,active
ACC-0017,accessibility,A-accessibility,SEM-017,accessibility-tree,error,active
ACC-0018,accessibility,A-accessibility,SEM-018,accessibility-tree,error,active
ACC-0019,accessibility,A-accessibility,SEM-019,accessibility-tree,error,active
ACC-0020,accessibility,A-accessibility,SEM-020,accessibility-tree,error,active
ACC-0021,accessibility,A-accessibility,SEM-021,accessibility-tree,warning,active
ACC-0022,accessibility,A-accessibility,SEM-022,accessibility-tree,warning,active
ACC-0023,accessibility,B-visual-semantics,DOC-001,Document,Medium,active
ACC-0024,accessibility,B-visual-semantics,DOC-002,Document,Medium,active
ACC-0025,completeness,B-visual-semantics,DOC-003,Indexing,High,active
ACC-0026,completeness,B-visual-semantics,DOC-004,Rendering,Critical,active
ACC-0027,accessibility,B-visual-semantics,LAND-001,Landmarks,High,merged_into:ACC-0001
ACC-0028,accessibility,B-visual-semantics,LAND-002,Landmarks,Medium,active
ACC-0029,accessibility,B-visual-semantics,LAND-003,Landmarks,Medium,active
ACC-0030,accessibility,B-visual-semantics,NAV-001,Navigation,Medium,merged_into:ACC-0005
ACC-0031,accessibility,B-visual-semantics,NAV-002,Navigation,Medium,merged_into:ACC-0006
ACC-0032,accessibility,B-visual-semantics,NAV-003,Navigation,High,active
