mapping_id,tag_or_pattern,html_condition,computed_role_or_exposure,accessible_name_source,accessible_description_source,state_or_properties,required_relationships,common_failure,test_method,source_id
AXM-001,article,Native article element,article,Author naming where supplied; otherwise content does not automatically name the article,aria-describedby or host-language description where supported,None by default,Use a heading to identify the independent composition,Layout wrapper mislabeled as article,Inspect computed role and heading context,SRC-HTML-AAM|SRC-ACCNAME
AXM-002,section,Section has an accessible name,region,aria-labelledby or aria-label,aria-describedby where supplied,None by default,Prefer aria-labelledby pointing to the visible section heading,Unnamed sections create generic nodes or unnecessary structure,Inspect whether the section appears as a named region,SRC-HTML-AAM|SRC-ACCNAME
AXM-003,section,Section has no accessible name,generic or no landmark exposure,None,None,None,Use div when no thematic section exists,Developer expects an unnamed section to appear as a useful landmark,Inspect full tree and ignored-node reason,SRC-HTML-AAM|SRC-ACCNAME
AXM-004,nav,Native navigation section,navigation,aria-labelledby or aria-label when more than one navigation landmark exists,aria-describedby where supplied,None by default,Repeated navigation landmarks need distinct names,Several navigation landmarks exposed with the same or empty name,Inspect full tree and computed name,SRC-HTML-AAM|SRC-ACCNAME
AXM-005,aside,Native complementary content,complementary,aria-labelledby or aria-label when naming is required,aria-describedby where supplied,None by default,Content must remain secondary to the surrounding narrative,Primary content placed in complementary landmark or repeated unnamed asides,"Inspect role, name, and placement in tree",SRC-HTML-AAM|SRC-ACCNAME
AXM-006,header,Direct child or page-level header in the body context,banner,Usually unnamed; author naming only where supported and justified,aria-describedby where supplied,None by default,Only the page-level header should expose banner,Nested section header incorrectly expected to expose banner,Inspect ancestry and computed role,SRC-HTML-AAM|SRC-ACCNAME
AXM-007,footer,Page-level footer in the body context,contentinfo,Usually unnamed; author naming only where supported and justified,aria-describedby where supplied,None by default,Only the page-level footer should expose contentinfo,Nested article footer incorrectly expected to expose contentinfo,Inspect ancestry and computed role,SRC-HTML-AAM|SRC-ACCNAME
AXM-008,main,One visible page-level main element,main,Usually unnamed; aria-labelledby or aria-label only when needed,aria-describedby where supplied,None by default,One visible main; valid ancestry,"Missing, duplicate, hidden, or nested main landmark","Inspect full tree, visibility, and ancestry",SRC-HTML-AAM|SRC-ACCNAME
AXM-009,search,Native search element,search,aria-labelledby or aria-label when the search landmark needs distinction,aria-describedby where supplied,None by default,Controls inside need their own labels,Search discussion content mislabeled as a search landmark,Inspect role and contained controls,SRC-HTML-AAM|SRC-ACCNAME
AXM-010,address,Contact information for nearest article or document owner,No dedicated landmark role; exposed as content,Text content,aria-describedby where supplied,None,Scope contact details to the relevant owner,Arbitrary postal address treated as author contact information,Inspect content order and surrounding scope,SRC-HTML-AAM|SRC-ACCNAME
AXM-011,figure,Self-contained figure,figure,"figcaption, aria-labelledby, or aria-label depending implementation",figcaption or aria-describedby where not used as name,None,Keep figcaption inside figure as first or last child,Caption visually nearby but structurally disconnected,"Inspect figure role, name/description, and child relationship",SRC-HTML-AAM|SRC-ACCNAME
AXM-012,figcaption,Caption inside figure,Caption relationship; not a separate landmark,Text contributes to figure name or description according to browser mapping,Text content,None,Must remain a child of figure,Caption placed outside figure or duplicated as image alt,Inspect parent figure computed properties,SRC-HTML-AAM|SRC-ACCNAME
AXM-013,details,Native disclosure container,group or disclosure container depending platform mapping,"Summary text identifies the disclosure control, not the details container in every platform",aria-describedby where supplied,Open or closed state reflected through the summary control,First summary child labels the disclosure,Custom styling removes expected state or focus behavior,Toggle and inspect tree before and after activation,SRC-HTML-AAM|SRC-CORE-AAM
