rule_id,pillar,checklist_ref,requirement,pass_condition,fail_condition,solution_pattern,default_severity,check_type,evidence_basis,source_id
EEAT-001,trust,c0i0,No fabricated or inflated social proof,"No fabricated or inflated social proof anywhere : reviews, ratings, testimonials, client logos, ‘used by’ counts : and every rating in schema matches what’s visible on the page. (applies to product reviews, G2/Capterra badges, testimonials, follower/customer counts alike.)",AggregateRating 5.0/119 in schema while real counts are 1-6; a '3120 reviews' site header with no basis.,P0 : remove fabricated review/rating schema before anything else; fabricated structured data risks a manual action and is the opposite of trust.,Critical,llm-judgment,Standard,SRC-GOOGLE-QRG
EEAT-002,trust,c0i1,Genuine + hard-to-fake third-party proof shown,"Only genuine proof is shown, plus hard-to-fake third-party proof fit to the model. (local/DTC: Google Business, Trustpilot; SaaS/B2B: G2, Capterra, analyst mentions, named clients; publisher: independent test data; services: verifiable case studies.)",Relying only on self-hosted testimonials you fully control.,Third-party proof is harder to fake and more trusted than on-site claims : add it.,Critical,llm-judgment,Standard,SRC-GOOGLE-QRG
EEAT-003,trust,c0i2,Real org identity (About / Our Story),"Clear ‘who runs this’: real org identity : About/Our-Story, team, mission, and ownership/funding transparency where it matters.","Anonymous brand with no team, story, or accountable owner.",A verifiable human/organisation behind the site is a core trust signal.,High,llm-judgment,Standard,SRC-GOOGLE-HELPFUL
EEAT-004,trust,c0i3,Verifiable real-world footprint (NAP / legal entity),"Verifiable real-world footprint fit to the model. (local: address, phone, hours, consistent NAP; online-only: registered legal entity, real support channels, physical or corporate address.)","No address/phone, or a NAP that differs across the site and directories.",Contactability and a real entity behind the site.,High,llm-judgment,Standard,SRC-GOOGLE-HELPFUL
EEAT-005,trust,c0i4,"Complete, visible policies for the model","Policies complete and visible for your model. (ecom: shipping/returns/privacy; SaaS: terms, SLA, DPA, security; publisher/affiliate: disclaimers + affiliate/sponsorship disclosure; everywhere: privacy.)",Missing disclosure on affiliate/sponsored content; buried or absent returns/privacy.,Policies are a baseline trust (and often legal) requirement.,High,deterministic,Standard,SRC-GOOGLE-HELPFUL
EEAT-006,trust,c0i5,Trust / compliance badges legitimate and unbroken,"Trust/compliance badges are legitimate and unbroken. (accreditation e.g. BBB; security/compliance e.g. SOC 2, ISO 27001, HIPAA, PCI; payment trust. A broken badge is a sitewide negative signal.)","A broken or expired badge (a sitewide negative signal), or a badge you're not entitled to.",Every badge must be real and current.,Medium,llm-judgment,Interpretation,SRC-PRACTITIONER
EEAT-007,trust,c0i6,"Sourcing, methodology & corrections policy","Clear sourcing / methodology, and a visible corrections / last-updated policy.",Unsourced claims and no visible way to see when/if content is corrected.,Show your work so the reader (and Google) can trust it.,Medium,llm-judgment,Standard,SRC-GOOGLE-HELPFUL
EEAT-008,authorship,c1i0,Real named human byline (never Admin / CMS username / brand-only),"Real named human byline on content : never ‘Admin’, a CMS username, or brand-only. (the right author varies: founder/practitioner, named engineer/PM/DevRel, staff journalist/analyst, licensed professional, or researcher.)","'Admin', a CMS username (e.g. tayyab910629), or brand-only bylines : signals negative expertise.","Every content page needs an accountable, named human author.",High,deterministic,Standard,SRC-GOOGLE-HELPFUL
EEAT-009,authorship,c1i8,Author's background genuinely matches the content's topic,"The author’s stated background genuinely fits this piece’s topic, not just the business in general. (a generalist byline on a specialist topic reads as thin even with a real name attached : match the author to the piece, not just to the site.)","A real, credentialed author writing outside their actual area of experience : technically satisfies 'has an author' while adding no real expertise signal.","Match the author to the topic, not just the byline to the page.",Medium,llm-judgment,Interpretation,SRC-GUBUR
EEAT-010,authorship,c1i1,Dedicated author page (+ team directory),"Dedicated author page: name, photo, role, credentials/experience, first-hand background, links to their work : plus an author directory for teams.","A byline with no page, or a stub with no credentials/experience.",The byline must resolve to real background about the author.,High,llm-judgment,Standard,SRC-GOOGLE-HELPFUL
EEAT-011,authorship,c1i2,Byline links to a working author page,The byline links to that author page and the link actually works (not empty / dead).,Empty / dead author links (a very common CMS bug).,A byline that links nowhere is worse than none.,High,deterministic,Standard,SRC-GOOGLE-HELPFUL
EEAT-012,authorship,c1i3,Person schema + sameAs to real off-site profiles,Person schema + sameAs → the author’s real off-site profiles for the field. (LinkedIn broadly; GitHub for engineers; ORCID/Google Scholar for researchers; bar/license registries for law/finance/health; professional bodies.),"Person schema pointing to nothing, or to profiles that are inconsistent or don't exist.",sameAs is how Google resolves the author as one known entity.,High,deterministic,Standard,SRC-SCHEMAORG
