element,context,implicit_role,allowed_roles,prohibited_roles,allowed_aria,prohibited_aria,notes,source_id
a,with href,link,"button,checkbox,menuitem,menuitemradio,menuitemcheckbox,option,radio,switch,tab,treeitem",,aria per chosen role,,interactive; naming via text,SRC-HTML-ARIA
a,without href,generic,any,,global aria-*,,non-interactive when no href,SRC-HTML-ARIA
article,,article,"application,document,feed,main,none,presentation,region",,global,,,SRC-HTML-ARIA
aside,,complementary,"feed,none,note,presentation,region,search",,global,,landmark,SRC-HTML-ARIA
button,,button,"checkbox,combobox,link,menuitem,menuitemcheckbox,menuitemradio,option,radio,switch,tab",,"aria-pressed,aria-expanded per role",,name from content,SRC-HTML-ARIA
div,,generic,any,,global,,neutral container,SRC-HTML-ARIA
span,,generic,any,,global,,neutral inline,SRC-HTML-ARIA
footer,page context,contentinfo,"group,none,presentation",,global,,landmark only at top level,SRC-HTML-ARIA
header,page context,banner,"group,none,presentation",,global,,landmark only at top level,SRC-HTML-ARIA
h1-h6,,heading,"none,presentation,tab",,aria-level,,aria-level must match rank,SRC-HTML-ARIA
main,,main,none,other landmark roles,global,,one per page,SRC-HTML-ARIA
nav,,navigation,"menu,menubar,none,presentation,tablist",,global,,landmark,SRC-HTML-ARIA
section,with accessible name,region,"alert,alertdialog,application,banner,complementary,contentinfo,dialog,document,feed,group,log,main,marquee,navigation,none,note,presentation,search,status,tabpanel",,global,,region only when named,SRC-HTML-ARIA
p,,paragraph,none? no,most roles prohibited,global,,use html-aria table,SRC-HTML-ARIA
ul,,list,"directory,group,listbox,menu,menubar,none,presentation,radiogroup,tablist,toolbar,tree",,global,,,SRC-HTML-ARIA
ol,,list,"directory,group,listbox,menu,menubar,none,presentation,radiogroup,tablist,toolbar,tree",,global,,,SRC-HTML-ARIA
li,in ul/ol,listitem,"menuitem,menuitemcheckbox,menuitemradio,option,none,presentation,radio,separator,tab,treeitem",,global,,role depends on parent,SRC-HTML-ARIA
dl,,(none) / associationlist,"group,list,none,presentation",,global,,,SRC-HTML-ARIA
dt,,term / listitem,listitem,,global,,,SRC-HTML-ARIA
dd,,definition,,,global,,,SRC-HTML-ARIA
table,,table,any,,global,,grid/treegrid via role,SRC-HTML-ARIA
thead/tbody/tfoot,,rowgroup,any,,global,,,SRC-HTML-ARIA
tr,,row,any,,global,,,SRC-HTML-ARIA
th,,columnheader/rowheader,any,,aria-sort,,scope drives role,SRC-HTML-ARIA
td,,cell (in table),any,,global,,gridcell in grid,SRC-HTML-ARIA
caption,,caption,no role,all roles prohibited,global,,,SRC-HTML-ARIA
form,with name,form,"none,presentation,search",,global,,landmark when named,SRC-HTML-ARIA
