rule_id,dimension,category,scope,applies_to,trigger,requirement,pass_condition,fail_condition,default_severity,evidence_basis,source_id,solution_pattern,validation_method
ACC-0001,accessibility,semantic-structure,,main,,Exactly one visible main landmark,One non-hidden main contains the page-specific primary content.,Missing or duplicate main landmarks obscure the dominant content region.,High,Standard,SRC-WHATWG,"Add one main around unique content; remove, hide correctly, or refactor duplicates.",DOM query plus visibility check
ACC-0002,accessibility,semantic-structure,,main,,Main has valid ancestry,"Main is not descended from article, aside, footer, header, or nav.",The structure violates main content-model constraints.,High,Standard,SRC-WHATWG,Move main to the document body level outside those elements.,Check ancestors
ACC-0003,accessibility,semantic-structure,,section,,Sections are named,"Each meaningful section has a heading, or a justified accessible label.",An unnamed section may add no useful structure and may produce an unnamed region.,Medium,Standard,SRC-WHATWG,Add a descriptive heading or use div when no thematic section exists.,Find heading or accessible name
ACC-0004,accessibility,semantic-structure,,article,,Articles stand independently,Each article is intelligible and reusable outside the immediate page.,A layout wrapper has been mislabeled as independent content.,Medium,Standard,SRC-WHATWG,Use section or div unless the block is a standalone composition.,Editorial review
ACC-0005,accessibility,semantic-structure,,nav,,Nav is reserved for major navigation,Each nav represents a major navigation block.,Too many nav landmarks reduce navigational value.,Medium,Standard,SRC-WHATWG,Use ordinary containers for minor link groups.,Editorial and link-block review
ACC-0006,accessibility,semantic-structure,,"nav, aside, form/search, region",,Repeated landmarks have distinct names,Landmarks of the same type have unique browser-computed accessible names when distinction is required.,Users cannot distinguish repeated landmarks in landmark navigation.,High,Standard,SRC-HTML-AAM|SRC-ACCNAME,Use aria-labelledby with a visible heading or a concise aria-label; verify the computed name rather than the attribute alone.,Full accessibility-tree and computed-name inspection
ACC-0007,accessibility,semantic-structure,,h1-h6,,Headings encode hierarchy,Headings identify content sections and levels follow nesting intent.,Styling-driven headings distort programmatic structure.,Medium,Standard,SRC-SEMRUSH,Select levels for hierarchy and use CSS for size.,Heading-tree review
ACC-0008,accessibility,semantic-structure,,"figure, figcaption",,Figure captions are structurally associated,Figcaption is the first or last child of figure.,Caption meaning may not be associated as intended.,Medium,Standard,SRC-WHATWG,Move figcaption inside figure at the first or last position.,DOM child-order check
ACC-0009,accessibility,semantic-structure,,time,,Dates use valid datetime values,"Datetime is absent only when text is machine-readable, or contains a valid HTML date/time/duration.",Ambiguous or invalid values defeat machine readability.,Medium,Standard,SRC-WHATWG,Add a valid datetime value while keeping human-readable text.,Attribute syntax validation
ACC-0010,accessibility,semantic-structure,,"details, summary",,Disclosure widgets use details and summary correctly,Each details begins with a usable summary and works with keyboard input.,The disclosure lacks a native name or interaction behavior.,Medium,Standard,SRC-WHATWG,Add summary as the first child or implement an accessible custom pattern only when necessary.,DOM and keyboard test
ACC-0011,accessibility,semantic-structure,,interactive controls,,Native interactive elements are used,"Links navigate; buttons perform actions; native controls expose the expected role, name, focus behavior, keyboard behavior, and state.","Generic containers or mismatched controls lack dependable role, keyboard, focus, state, or action behavior.",High,Standard,SRC-HTML-AAM|SRC-CORE-AAM|SRC-WAI-ARIA,Replace the control with the matching native element; preserve a useful computed name and verify interaction behavior.,"DOM, computed accessibility tree, focus, keyboard, and activation test"
ACC-0012,accessibility,semantic-structure,,table,,"Tables represent data, not layout",Every table represents row-column data and uses caption/th associations as needed.,Layout tables create misleading navigation and relationships.,High,Standard,SRC-WHATWG,Use CSS layout for presentation; repair data-table headers and caption.,Content and header association review
ACC-0013,accessibility,semantic-structure,,all,,Semantic choice follows meaning,Elements are chosen for purpose; CSS supplies presentation.,Appearance-driven element choice corrupts document meaning.,Medium,Standard,SRC-SEMRUSH,Replace misused elements and preserve visuals through CSS.,DOM and CSS review
ACC-0014,accessibility,semantic-structure,,all semantic elements,,ARIA does not conflict with native semantics,ARIA supplements native semantics without changing the computed role or state to an inaccurate value.,Redundant or conflicting ARIA produces an inaccurate accessibility object.,High,Standard,SRC-HTML-AAM|SRC-WAI-ARIA|SRC-CORE-AAM,"Remove redundant or conflicting ARIA, prefer native HTML, and recheck the computed accessibility node.","Compare native semantics, ARIA attributes, and browser-computed role/state"
