source_id,publisher,source_class,accessed,url,scope
SRC-CHROME-AXTREE,Chrome for Developers,authoritative-guidance,2026-07-27,https://developer.chrome.com/blog/full-accessibility-tree,"Full accessibility tree in Chrome DevTools; tree hierarchy, ignored nodes, live updates, and platform caveats."
SRC-CHROME-A11Y-REF,Chrome for Developers,authoritative-guidance,2026-07-27,https://developer.chrome.com/docs/devtools/accessibility/reference,"Current DevTools workflow for the full accessibility tree, computed properties, source order, and accessibility inspection."
SRC-HTML-AAM,W3C,normative-draft,2026-07-27,https://www.w3.org/TR/html-aam-1.0/,HTML element and attribute mappings to platform accessibility APIs.
SRC-ACCNAME,W3C,normative-draft,2026-07-27,https://www.w3.org/TR/accname-1.2/,Accessible name and description computation.
SRC-CORE-AAM,W3C,normative-draft,2026-07-27,https://www.w3.org/TR/core-aam-1.2/,"Core role, state, property, event, and accessibility API mappings."
SRC-WAI-ARIA,W3C,normative,2026-07-27,https://www.w3.org/TR/wai-aria/,"ARIA roles, states, properties, and author requirements."
SRC-WAI-EVALUATION,W3C WAI,authoritative-guidance,2026-07-27,https://www.w3.org/WAI/test-evaluate/,"Evaluation methods, tool limits, manual review, and conformance resources."
SRC-WAI-EASY-CHECKS,W3C WAI,authoritative-guidance,2026-07-27,https://www.w3.org/WAI/test-evaluate/preliminary/,"Preliminary checks for headings, images, keyboard access, forms, and basic structure."
SRC-MDN-ARIA-HIDDEN,MDN Web Docs,authoritative-guidance,2026-07-27,https://developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA/Reference/Attributes/aria-hidden,"Effects and restrictions of aria-hidden, including focusable descendants."
SRC-MDN-INERT,MDN Web Docs,authoritative-guidance,2026-07-27,https://developer.mozilla.org/en-US/docs/Web/HTML/Reference/Global_attributes/inert,"Effects of inert on focus, interaction, selection, and accessibility-tree exposure."
