tag,category,semantic_purpose,common_use_cases,generic_or_legacy_pattern,improvement_over_generic,accessibility_effect,seo_effect,seo_confidence,constraints,example_html
article,sectioning,A self-contained composition intended to be independently reusable or distributable.,Blog post; news story; forum post; product card with standalone identity; user comment.,"div class=""article""",Exposes independence as native document meaning instead of a private class convention.,May create an article structure; headings help users identify the unit.,Helps systems distinguish a standalone content unit; an isolated ranking boost is not documented.,supported-indirect,Use only when the content makes sense independently; nested articles should relate to the containing article.,<article><h2>Guide title</h2><p>...</p></article>
section,sectioning,"A generic thematic section of a document or application, usually identified by a heading.",Chapters; grouped service details; report sections; tabbed thematic panels.,"div class=""section""",Makes thematic grouping explicit in the HTML vocabulary.,A named section may expose a region; excessive unnamed sections create noise.,"Supports coherent content structure, but is not a keyword-weighting switch or confirmed ranking factor.",supported-indirect,"Use article, nav, aside, or address when their narrower meaning applies; normally include a heading.",<section><h2>Eligibility</h2><p>...</p></section>
nav,sectioning-landmark,A section whose purpose is major navigation.,Primary menu; breadcrumbs container; table of contents; pagination or major index.,"div id=""nav""",Creates native navigation meaning and normally an accessibility landmark.,Screen-reader users may jump to it; multiple nav landmarks need distinct names.,Clarifies navigational blocks and link context; no confirmed special PageRank weighting follows merely from the tag.,supported-indirect,Not every link group belongs in nav. Label repeated navigation landmarks.,"<nav aria-label=""Primary""><ul><li><a href=""/"">Home</a></li></ul></nav>"
aside,sectioning-landmark,Content tangentially related to its surrounding content.,Sidebar; related resources; pull quote; author note; advertising.,"div class=""sidebar""",Expresses complementary rather than primary relevance.,Usually maps to a complementary landmark when context permits; repeated landmarks need names.,May help separate supplementary material from main content; ranking effects are not documented.,supported-indirect,Content must remain related yet non-essential to the surrounding flow.,"<aside aria-label=""Related guides""><h2>Related guides</h2></aside>"
header,sectioning,Introductory or navigational aids for a page or section.,Site masthead; article title/byline group; section introduction.,"div class=""header""",Meaning depends on its nearest sectioning context and is not limited to the page top.,A body-level header may map to banner; nested headers generally do not.,Clarifies introductions and heading context; no isolated ranking benefit is confirmed.,supported-indirect,"May appear several times; do not nest within header or footer, and observe content-model restrictions.",<article><header><h1>Title</h1><p>Byline</p></header></article>
footer,sectioning,Footer information for its nearest sectioning ancestor or the page.,Author details; copyright; related links; revision data.,"div class=""footer""",Associates closing metadata with the correct page or section.,A body-level footer may map to contentinfo; nested footers generally do not.,Helps classify supporting metadata; no isolated ranking benefit is confirmed.,supported-indirect,May appear more than once; its meaning is scoped to the nearest sectioning ancestor.,<footer><small>Updated 2026-07-16</small></footer>
main,landmark,"The dominant content of the document body, excluding repeated site-wide material.",Primary article; product detail; service page content; application workspace.,"div id=""main""","Creates a native main landmark without role=""main"".",Provides a direct destination for landmark navigation and skip links.,Separates unique page content from repeated chrome; direct rank improvement is not documented.,supported-indirect,"Normally one visible main per document; do not nest in article, aside, footer, header, or nav.","<main id=""content""><h1>Page topic</h1></main>"
search,landmark,A part of a document containing controls or content for performing a search or filtering operation.,Site search; product filter controls; on-page search.,"div class=""search"" role=""search""",Provides native search landmark semantics without an ARIA role.,Exposes a search landmark where supported.,No direct SEO effect established; improves native meaning and accessibility.,supported-indirect,"Use for search/filter functionality, not a section merely discussing search.","<search><form><label for=""q"">Search</label><input id=""q""></form></search>"
address,sectioning-text,Contact information for the nearest article or document body.,Author email; organization contact link; page-owner contact details.,"div class=""contact""",Associates contact data with its responsible author or organization.,Supplies semantic contact context but does not replace accessible labels or structured data.,May clarify authorship/contact context; does not replace Organization/Person structured data.,supported-indirect,Do not use for arbitrary postal addresses unrelated to the author/owner.,"<address>Contact <a href=""mailto:editor@example.com"">the editor</a></address>"
figure,grouping,"Self-contained content referenced as a unit, optionally with a caption.",Image; diagram; chart; code listing; quotation; data table.,"div class=""figure""",Groups the asset and its caption as one semantic unit.,Provides structural association; image alt text remains independently required when applicable.,Improves media-context organization; figure alone does not guarantee image-search gains.,supported-indirect,"Figcaption, when present, must be the first or last child.","<figure><img src=""chart.png"" alt=""Sales rose""><figcaption>Quarterly sales</figcaption></figure>"
